name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
Sitharangi,Sunny Austin,1Ur54HzTsoPVweL7Ybalq1,0.833,0.623,0.036,0.7783604994189338,0.16,romantic
Akalesthey,Devi Sri Prasad,6yVeYqlH4yUGgMFoBa1qlA,0.889,0.0371,0.0568,0.6915581513155935,0.0595,energetic
Yemani Pogadudume,S. P. Balasubrahmanyam,39CXE5xdb4ZbFRTTei3Tuk,0.574,0.422,0.323,0.752167823832653,0.0488,romantic
Nuv Nakem Kavu,Naresh Penta,1oEptnZ4BuzUnumXDAFYeB,0.736,0.809,0.12,0.7302363002473257,0.0351,Chill
O Pilla (TELUGU),Devi Sri Prasad,1hmHzSfyVerXSYiY1Qq4Vx,0.842,0.174,0.065,0.7675437289549749,0.19,energetic
Aa Devudela Vuntaadani,J. V. Raghavulu,2yqb9e1mJO6RSoxBFPcVlu,0.64,0.96,0.138,0.6670937751422867,0.0618,Chill
Pranavalaya,Mickey J. Meyer,1khlL3DxRKVWhoYAQvjNmi,0.517,0.426,0.113,0.733663100807533,0.102,romantic
Selavanuko,Anup Rubens,6ciYv5q2QoZo1lBTdDfzRT,0.74,0.842,0.106,0.6279090556929587,0.0386,Chill
Rama Rama,Devi Sri Prasad,5XPhao7RM49t5OKNHE6ZVJ,0.647,0.0688,0.0996,0.8068178432015257,0.105,energetic
Prema Yatralaku,Ghantasala,1M8XiKte4skpdbNYHwjLpB,0.641,0.981,0.337,0.5366369677284784,0.0975,Chill
Elegeylaga,Mani Sharma,6mSZiIekGnSwCP3brOS9Iw,0.845,0.065,0.0733,0.7371494978992224,0.0481,energetic
Bangala Kathamulo,Ramana Gogula,0iKtQHMwA3k3NeKFWo17eN,0.854,0.394,0.134,0.7164695014750142,0.0863,romantic
Yuvakula,Thaman S,6UGkpZUshokRYSUuLeb2wT,0.828,0.441,0.117,0.7468041359992849,0.2,romantic
Adugaduguna Neetho Rana,Shravan Goud Writes,21jacqxMqPfeoV59jySKz3,0.57,0.312,0.143,0.6184630054530826,0.0409,romantic
Ammo Vaadevado Gaani,Various Artists,0sJwJGM7xmhGRrUsjPISj3,0.758,0.417,0.243,0.6700736017163802,0.174,romantic
F. T. V. Figaralle,Devi Sri Prasad,2Ni6m3h2LXGmywo5IFsNi9,0.873,0.0888,0.306,0.7222503650287554,0.11,energetic
Pachchadanamey,A.R. Rahman,5eQYzdcEDOhvJ4ClsUQB3C,0.536,0.387,0.367,0.4059119759230013,0.0647,romantic
Chakkani Bike Undi,Devi Sri Prasad,6f4pEL7EpzQAdSqVsYQtvz,0.82,0.228,0.0997,0.8798533925325547,0.114,energetic
Le Le Lele,Mani Sharma,0HnfMJhNQTHI8RnRktYINb,0.908,0.0142,0.0549,0.7433177389075957,0.0643,energetic
Chilipiga,Harris Jayaraj,5J3Gykr4QdXzgbRGlusUrM,0.658,0.411,0.157,0.668375100569147,0.0271,romantic
Alluda Garelu Vandala,Rap Rock Shakeel,3ekTeAvIzwM2lKKHdQaEW0,0.625,0.152,0.0928,0.8091421079293185,0.331,energetic
Choosuko Padhilanga,K. Chakravarthy,2UCdM3QKsW0WcnCdn9uKc5,0.406,0.92,0.372,0.8694835960547096,0.0452,Chill
Vinaro Bhagyamu,M. M. Keeravani,14tPv8NXClmhURwN4Sctta,0.411,0.892,0.677,0.8250841801007182,0.201,cheerful
Naa Manasuney,Devi Sri Prasad,6DxVjDeLpPPimmiqSv05hd,0.764,0.475,0.4,0.6960874877082155,0.121,romantic
Light Theesko,Devi Sri Prasad,2N4EHEQjuB9q6S8vL6xl2L,0.786,0.164,0.356,0.8409666557406359,0.116,energetic
Pavuraniki Panjaraniki,Ilaiyaraaja,42RT5sjq6SnSY9njQ9B4dk,0.734,0.778,0.121,0.7142048332787032,0.0477,Chill
"Ranjithame (From ""Vaarasudu"") [Telugu]",Anurag Kulkarni,0gZibDOwioMCck3d5nExjl,0.535,0.601,0.0697,0.7695402127596174,0.133,romantic
DJ Saranam Bhaje Bhaje,Devi Sri Prasad,0EpsTbY4ZhvqZuPh46bE60,0.689,0.0669,0.14,0.8559551834083257,0.151,energetic
Thanuvantha,Sinjith Yerramilli,3N3jaiTj08UKOPgM639miD,0.325,0.425,0.0734,0.5555588664739712,0.032,romantic
Choododde Nannu,Devi Sri Prasad,1RCrBXLN9cn4WmbpT9uJGJ,0.807,0.0477,0.0944,0.74537381924372,0.0473,energetic
"Jigelu Rani (From ""Rangasthalam"")",Devi Sri Prasad,1leE0lg8KIbQAsAnGt9Izn,0.703,0.706,0.147,0.8083375547543133,0.207,romantic
Daawath,Rahul Sipligunj,3Bv6Jghbq72NqEqWnkqUOj,0.823,0.339,0.0887,0.8231472928275575,0.104,energetic
Undiporaadhey - Sad Version,Radhan,18r28YOE2nO8hU0bv0lmcv,0.533,0.93,0.0655,0.5908102148454961,0.0479,Chill
Bujjulu Bujjulu,M. M. Keeravani,31NymtGVu5wUjUzvaJaF9y,0.763,0.564,0.318,0.8473434846091957,0.248,romantic
Mind Block,Devi Sri Prasad,4q4PNCWRo90nUTILn6Y048,0.922,0.645,0.0972,0.8176346136654847,0.216,romantic
Malliyalaara,Ghantasala,7xE6g8ncPtqJ0xbkaK1tVn,0.426,0.97,0.328,0.7383712267946005,0.0327,Chill
Naa Intimundunna,A.R. Rahman,61zTaISAG8jVtWL9N4pQF0,0.753,0.476,0.363,0.7999642420811109,0.0583,romantic
Edo Oka Raagam Female,S.A. Rajkumar,51nEL2KVPRucESEZVXeM1m,0.647,0.676,0.126,0.7596471885336273,0.0275,romantic
Laila O Lailaa,Thaman S,5smKL9alAG4yVzSLRFqmHQ,0.795,0.321,0.231,0.735033821031616,0.0895,energetic
Colorful Chilaka,Praveen Lakaraju,78Ew8m4IHFovprNMyj4E2y,0.799,0.694,0.049,0.7915909294079084,0.0951,romantic
Maha Ganapathim - Instrumental,Various Artists,6VjNwJfOnTm5oErbY2nUnr,0.476,0.488,0.0837,0.789594445603266,0.0328,romantic
"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar,1hYaQRlsuEW4kMjjmjyow3,0.636,0.591,0.0908,0.6181054262641915,0.0453,romantic
Mansannadi Annadi,S.A. Rajkumar,60yhujZTdl43vgo1g0XlMa,0.777,0.0612,0.321,0.6781191334664323,0.0465,energetic
Urike Urike,Various Artists,7dT21sIYXtxJpIEBIdUSuu,0.567,0.377,0.0939,0.6869096218600078,0.0453,romantic
"Mukku Pudaka (From ""Kalyanamasthu)",RR Dhruvan,2ZZoYitRGXg0S2ixDtBqmS,0.567,0.498,0.0255,0.8369438898656099,0.229,romantic
Emaindhi Eevela,Yuvan Shankar Raja,3E8mVTnCMmXJNq6Pbcfkp7,0.799,0.178,0.19,0.8000834351440747,0.0276,energetic
Guggu Guggu Gudisundi,K. Chakravarthy,1tsWQleebBvYp8ztUDQWte,0.632,0.914,0.246,0.71250633213147,0.127,Chill
Tongi Tongi - Club Mix,Anup Rubens,3mwlVpUUuNebh4rXNBJUsq,0.737,0.0365,0.157,0.6828272594534999,0.076,energetic
Bujji Bangaram,Chaitan Bharadwaj,1Y5lew9Z79LKXNLO4vEeHe,0.67,0.592,0.15,0.7207902500074497,0.129,romantic
Zum Zumare,Chakri,18S1e0e6vRATQTkAM7REMl,0.723,0.0221,0.0419,0.7694210196966537,0.0612,energetic
Korukku Tinavayyo,Sri Venkat,061jTp5unTfEW9Qy30y83q,0.758,0.342,0.078,0.8294049286331535,0.177,romantic
Chali Chaliga,Devi Sri Prasad,0JLLcOdBUKfDtzY0seXQHC,0.711,0.634,0.153,0.7915313328764266,0.0527,romantic
"Panchathantram Title Song (From ""Panchathantram"")",Kala Bhairava,2jyQWap4OXmi73y2txHo1g,0.623,0.509,0.0763,0.7490092076641139,0.0416,romantic
Inka Edho,G. V. Prakash,0WM0NpFIZg6JhgneUyU5tl,0.64,0.333,0.188,0.7685270717244257,0.0314,romantic
Neevenaa,Divya Kumar,2rb1dCqdWF3OOI0Ve8nHhj,0.63,0.42,0.0891,0.5965612801334963,0.0314,romantic
Ravi Chettu Ragalu,Charan Arjun,1tKr9vJQmYzmlARqotAR2N,0.878,0.627,0.0657,0.7788074734050479,0.154,romantic
Priyathama,R. P. Patnaik,7FA4sbYRTkyYqx8MDUlVq4,0.691,0.128,0.205,0.8202866593164277,0.144,energetic
"Gokula Krishna (From ""Gokulamlo Seetha"")",S. P. Balasubrahmanyam,52lJ7xfGKBBs1FB26yvtbZ,0.723,0.742,0.0879,0.6311272683929796,0.0889,Chill
Jingi Chika,Various Artists,2wptn2OoH6Amv96LM7Es70,0.928,0.404,0.062,0.771566494830001,0.161,romantic
Bham Bham Bole,Mani Sharma,5wVTrHzxbqQwaU03EZYlV3,0.692,0.358,0.156,0.6724872612413958,0.238,romantic
Nadaka Chuste Vayyaram,R. P. Patnaik,4dFmgD6DtPLxdMRHLWqbma,0.489,0.117,0.344,0.6998122709258321,0.203,energetic
Nuvvaitavra Langa,"Sunil Kashyap, Rahul Sipligunj",7mxaUahMtuvQFC67hms36X,0.876,0.0527,0.108,0.8682320688935904,0.0413,energetic
Tharagathi Gadhi - Telugu,Kala Bhairava,7El6rXuDiiMNreCDv5QKBD,0.583,0.628,0.0941,0.7695402127596174,0.0378,romantic
Endaro Mahanubhavulu,Uthara Unnikrishnan,23zp7tPvDshEibnZh9PmOo,0.513,0.902,0.0724,0.7269584910158229,0.0486,Chill
Cheliya,Devi Sri Prasad,4TzigAgik8j6HvdTGWHOW3,0.669,0.0626,0.106,0.7704043624661046,0.0435,energetic
Ammi Olammi Tikkaregindha,K. Chakravarthy,4hKqv6uA4glLtPMddFHyQj,0.473,0.938,0.464,0.9195446824994785,0.252,Chill
Daakko Daakko Meka,Devi Sri Prasad,3WJiyfCnt41lWPRBJpP0ZI,0.943,0.17,0.0977,0.7256771655889628,0.0848,energetic
Rathraina,Mani Sharma,19b4lMf5AD4IQlutDKRvpZ,0.892,0.145,0.0943,0.7851247057421258,0.125,energetic
Janapadam Song,Mangli,4TRbgnlo77mN3GjP6mDiC1,0.668,0.235,0.0788,0.8365565124109777,0.0522,energetic
Yenno Yenno,Achu,6XbyfrUBZ3e6V8sGAP3dH8,0.856,0.33,0.0624,0.8588754134509372,0.037,energetic
Olammi,Thaman S,6HjSQWpCDylDfrfe0I4KXF,0.764,0.518,0.125,0.6212342441669896,0.188,romantic
Yerani Kurradani,A.R. Rahman,6kFVtk3nAi0iaBOgE4qTHs,0.867,0.165,0.0772,0.672815042164546,0.276,energetic
Mad Manase,Tanishk Bagchi,0HFAsQvlT6fPRiSFuWZNjf,0.789,0.142,0.107,0.8780356983223576,0.0765,energetic
Nuvvante Naaku,Anup Rubens,2QIEUlVHYCmkapUzG9CB8O,0.912,0.325,0.0409,0.7883727167078877,0.153,energetic
Nee Kosame,R. P. Patnaik,2kTDVnaGALMMFF1T1K2jPE,0.459,0.268,0.787,0.8624512053398492,0.0657,cheerful
Thats All Right Mama,Anup Rubens,5wv3qE0s0Zuru2ZaqnkmNL,0.905,0.577,0.164,0.768825054381835,0.109,romantic
Sumam Pratisumam,Ilaiyaraaja,1bELhJ2xNXfIeSZP3l85AJ,0.782,0.671,0.132,0.721505408385232,0.0349,romantic
Ninna Sandhya Velalo,Ilaiyaraaja,4OYWpjM106IaKt24tZiLxc,0.531,0.979,0.135,0.8029142703894634,0.0313,Chill
Nee Choopule,G. V. Prakash,2FPYJZygSLhD9RdPvEnBha,0.573,0.262,0.0976,0.7252599898685897,0.026,energetic
Dol Dol Dol Bhaje,Devi Sri Prasad,1uOsj7jbQxJqu6pv2OoKDx,0.722,0.384,0.118,0.8200482731905003,0.0865,romantic
Gummadi Gummadi,S.A. Rajkumar,3Nmx11s8Gte6zSzLntbSsu,0.775,0.0113,0.274,0.6945975744211688,0.0294,energetic
Maayaama Chendra,Hariharan,5WgOsZevbmx3QCYmrJFnzf,0.838,0.0138,0.0786,0.48314908072350193,0.202,energetic
Appuleni Samsara,Unnikrishnan,6MtsPFvZMHhiWEq3QeVgQz,0.482,0.644,0.11,0.7614350844780834,0.0831,Chill
Devudu Chesina,Ramesh Naidu,1gaL2yz1ONhulgJ0XdN3Il,0.308,0.925,0.11,0.6050239876039215,0.0631,Chill
Manase Jhathaga Paadindhile,Sathyam,2b5K6X3uTsA1zG5XrZzUv9,0.358,0.983,0.336,0.8031824547811317,0.0674,Chill
"Neela Neelamma Chiralo Neela, Pt. 2",Suman Badanakal,6QNTsXiOxCiTYUfbNr0Iyo,0.67,0.558,0.0638,0.8298817008850086,0.208,romantic
Toofan,Ravi Basrur,0ztbRzwQwzF53IPjoxZWhC,0.692,0.345,0.59,0.7280908251139784,0.0671,cheerful
Ee Reyi Theeyanidhi,S. Rajeswara Rao,25ieA4RNN5GcvbPQtrVsfh,0.489,0.882,0.192,0.8169790518191842,0.0357,Chill
Prema Endukani,S.A. Rajkumar,4vksdFFYxRsGxULs5SrC1l,0.598,0.806,0.117,0.8994606513900891,0.0852,Chill
Maayera,Harris Jayaraj,4ZI79kwi84DJcbiYFygJwW,0.78,0.0218,0.109,0.6783873178581007,0.0443,energetic
Dam Dama Dam,S.A. Rajkumar,49zO4CsJgNhcZeiXnCFHqo,0.798,0.0934,0.0589,0.799040495843142,0.175,energetic
Thillana,Various Artists,5tzOsoSTnqjMgaavOf1CAp,0.634,0.76,0.108,0.6231115349086684,0.206,Chill
"Prathi Rathri (From ""Ekaveera"")",S. P. Balasubrahmanyam,7dFZFGFubfT0ScR0uhaemA,0.516,0.842,0.518,0.6577073214338927,0.0663,cheerful
Navvuthu Ring Tone,Chakri,78Vv70PgffO7scciTb9DiL,0.803,0.161,0.0456,0.7628951994993891,0.136,energetic
Morethukochindhi,A.R. Rahman,1GDRl76dDH4Sjjfe0jfTbl,0.814,0.182,0.136,0.6282964331475909,0.0516,energetic
Om Namami,Sri,6OnA0y7dYaNrGvk7xVUkSN,0.7,0.238,0.205,0.8338746684942937,0.0513,energetic
Dillaku Dillaku,Mani Sharma,3TtlPKJRgz77uNyW0kGP67,0.868,0.172,0.285,0.7471021186566942,0.132,energetic
Osi Manasa Niku Thelusa,Lakshmikanth Pyarelal,6sNLQEmW3w4Qe5nCM0WIpt,0.323,0.444,0.796,0.7479066718316995,0.0596,cheerful
Nannedo Syeeamaku,M. M. Keeravani,2AkXccQOO1sz34Ma628osl,0.87,0.408,0.112,0.7384904198575644,0.0648,romantic
Nijaga Dasa Yadunandane,M. Balamuralikrishna,6Ue7IvdXapdqGk1R3XletG,0.687,0.874,0.263,0.45704579993444394,0.0869,Chill
Life Ante Challenge,Alphons Joseph,5pkur13w4lMJh7Dw9uXgAt,0.834,0.448,0.112,0.602550731547424,0.0617,romantic
Pranaamam,Devi Sri Prasad,75PLRXczgeUtwD9mFzDVsB,0.721,0.122,0.115,0.8509490747638487,0.0503,energetic
Andam Hindolam - Remix,Sai Karthik,7uwLbhGbjvASLX1YuKPSpJ,0.856,0.284,0.161,0.84588336958789,0.0699,energetic
Naa Paata Nee Nota,K. V. Mahadevan,0spX4xnAED3zWKtKn8NSco,0.427,0.968,0.0816,0.8329807205220656,0.041,Chill
Prema Yathralaku,Vandemataram Srinivas,6SeBZJmqC2ziWBWMZi1YVC,0.739,0.735,0.777,0.7317560118001133,0.145,cheerful
"Andala Menakave - From ""Manmadha""",Suchitra,2XFhrjn0WAldpHpY5YMjOc,0.588,0.479,0.104,0.7338418904019787,0.296,romantic
Baby Love,Gershom Penugula,6LoQxpzJTTV21PfODsrknC,0.423,0.026,0.0826,0.5813939628713609,0.469,energetic
"Bulreddy (From ""Sita"")",Various Artists,7My3AYHEIuZzF08WnFxHiL,0.87,0.184,0.482,0.8042551923478054,0.268,energetic
Andhamaina Chandhamaama,Gopi Sundar,1ppVtZ1NasSaNRxrhzbfiz,0.791,0.404,0.13,0.7509162966715337,0.055,romantic
Bhai,Devi Sri Prasad,7aWLbQEvdE4dzNyOvE9Bki,0.817,0.184,0.0674,0.8339342650257755,0.062,energetic
Killi Killi,Mani Sharma,57bRQzh6XEfIU4uGXz1p5j,0.789,0.184,0.0243,0.7853332936023124,0.165,energetic
Bonagiri gutta,Manukota Prasad,4Lszt9PsHA9o7RDLlInsFc,0.86,0.0293,0.0643,0.8831907982955393,0.306,energetic
Rachcha,Mani Sharma,36doZ7By8Xsf0mIWCJUQkm,0.844,0.135,0.0436,0.7326499597723413,0.244,energetic
Aa Ante,Devi Sri Prasad,6rjiIZVNoeMc8LMnslNNTM,0.781,0.0343,0.0826,0.7346464435769838,0.241,energetic
Aaskasam Eenatido,Anirudh Ravichander,25uKdD1tOzBjwpiVigaAOE,0.699,0.905,0.079,0.6215024285586579,0.052,Chill
Anjudi Lakshmanudu,Vidyasagar,2nT5NK8ojcBCLUQJTmmvnU,0.658,0.428,0.495,0.857623886289818,0.158,cheerful
"Jil Jil (From ""Jetty"")",Mangli,6U3oXZaFHoZrRzdjlqAICf,0.824,0.516,0.641,0.8263655055275784,0.142,cheerful
Shankarabharanamtho,Devi Sri Prasad,5YXkLztRkO8Pkmx3q8dFVD,0.602,0.0865,0.641,0.8370034863970917,0.128,energetic
Ohh Bhama,Various Artists,0ydklq6edfbZoXySdcBOrB,0.787,0.167,0.123,0.7925444739116183,0.0502,energetic
Yochana - Sudha Ragunathan,Sudha Ragunathan,3Otigjvqm8VSkNRHqCmw0m,0.464,0.828,0.0903,0.7572931255400936,0.126,Chill
London Dhaaka Dol,Amit Trivedi,4Qee4FFRg1eCgs4VczSTZp,0.91,0.241,0.0815,0.8184987633719718,0.289,energetic
Jagamanta Kutaumbam,Chakri,3qhQ7gxJi76FqiqP9JL4fM,0.462,0.407,0.0818,0.7204922673500402,0.0417,romantic
"Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,2oEHcVe21whTKWQBqRAYPp,0.705,0.226,0.14,0.8317589916266874,0.252,energetic
"Tongi Tongi - From ""Sukumarudu""",Suchitra,5kTWrn7qlBl01xS53VKFLf,0.81,0.363,0.0951,0.6881313507553861,0.109,romantic
Chandamama Raave,K. Chakravarthy,52PhqOvnpUc2EHh5sMB2y8,0.54,0.887,0.214,0.647635507613457,0.0562,Chill
O Papa Lali,Ilaiyaraaja,0rxwHsbm5lgb61lwQtzlse,0.644,0.955,0.352,0.8400429095026669,0.0254,Chill
Konda Kona,Koti,15yY8d7b7aRUkypZM0gGbO,0.559,0.776,0.655,0.7744569266068715,0.0374,cheerful
Ye Vasantha Midi,K. Chakravarthy,74gCId0UqBfsRpUkLYAAAn,0.606,0.994,0.372,0.7700467832772133,0.0332,Chill
Om Mahaprana Dipam,Hamsa Lekha,4O9VL9R88lmJQ5ykKjpI8W,0.481,0.331,0.0784,0.7098840847462679,0.0496,romantic
Nelluri Nerajana,A.R. Rahman,7yPeu0DTn2eWgO2FmHCks0,0.657,0.172,0.32,0.7535683423224768,0.0645,energetic
Choopultho Guchi,Chakri,7Hedn4W3wnzpxsVFjX5JPL,0.718,0.016,0.467,0.816144700378438,0.116,energetic
Something Something,Devi Sri Prasad,4EztIh7yvgYs9YLCvxT8ku,0.688,0.187,0.337,0.7554754313298966,0.314,energetic
Mana Manasune,Marcus. M,4siaROhndYXSuOgrt34Z1y,0.742,0.716,0.0891,0.65347596769868,0.0467,romantic
"Andaala Oh Chilakaa, Pt. 1",M. S. Viswanathan,5WaP9VSbSXjvVE2SszWg7X,0.343,0.895,0.431,0.6214428320271761,0.0361,Chill
Arey O Samba - Remix,Jaspreet Jasz,72ig2QHDxDbNYb9LT33ayD,0.789,0.0992,0.122,0.8658184093685748,0.101,energetic
Vayari Bhama,Ramana Gogula,4K4gYMKbZFMKh4ePHzXTQu,0.726,0.0766,0.103,0.878810453231622,0.0483,energetic
Koila Paata,S.A. Rajkumar,5OWd8nCY1BQSPNoNyzDqJ3,0.695,0.826,0.281,0.9243422032837689,0.0706,Chill
Ganga AC (Sye),M. M. Keeravani,4Swpd9X1pOFCYZgKlWIxY4,0.72,0.66,0.185,0.8403408921600763,0.0416,romantic
Once Up On,Mani Sharma,2R2FHagWm5v1zJACctLRkK,0.828,0.105,0.118,0.7878959444560327,0.0608,energetic
Evevo,K. V. Mahadevan,7KiinxUnzwQiVw90QgKsqG,0.376,0.991,0.148,0.6132483089484193,0.0374,Chill
Yeluko Nayaka,Mani Sharma,0Ojw0UUW0FQgESkNHoCgrH,0.72,0.437,0.141,0.7554456330641557,0.343,romantic
Turn This Party Up,Hiphop Tamizha,1WwnJyYzOiBzwC6theURyM,0.638,0.0417,0.0816,0.8280640066748115,0.0499,energetic
Gnana Vinayakane Gambheera Natai Adi Papanasam Sivan Saxopho,Kadri Gopalnath,2t01bxdtsCcuuSzWnB9UA1,0.481,0.794,0.205,0.8280938049405525,0.127,Chill
Rikshavaalanu Nenu,T.Chalapathi Rao,264Hb5NKamkFjYQVVsAhS2,0.489,0.855,0.426,0.6060073303733724,0.0756,Chill
Gundeki Rekkalu Thodigane,Lipsika Bhashyam,28Aei78P9fAQoLghqgQ6rS,0.793,0.254,0.0962,0.7753508745790996,0.188,energetic
O Apparao,Jeevan Thomas,3Wwi9seDxcRUJn4zjL1wwE,0.584,0.0444,0.259,0.8493101701480974,0.267,energetic
Mutyala Dhaarani,Harris Jayaraj,40lTZrTUyl0EaH8aoVBTVl,0.748,0.225,0.0907,0.6848237432581423,0.0404,energetic
Ee Chota Nuvvunna,Ramana Gogula,603Uo7zPEfn6cOSRmJCSnU,0.662,0.0471,0.245,0.7556840191900831,0.0594,energetic
Thanu Vethikina,Gopi Sundar,0VnfnRoJmJv4PkeqW2jjjv,0.617,0.754,0.0897,0.8208230280997646,0.0564,Chill
Neetho,The Non Violinist Project,1Y0S1FwDVaIYI9l9ekESgS,0.365,0.564,0.113,0.6887571143359457,0.0372,Chill
"Eppudu Padithe (From ""Bari"")",Aishwarya,3Uk13a3Fi71X1ifYVBNkJv,0.854,0.247,0.0694,0.7968652224440538,0.0968,energetic
Don Bosco,Thaman S,05j8OBtR02Y6w0DUY5sbTT,0.743,0.0537,0.302,0.8365863106767186,0.071,energetic
Manasanta Nuvve,R. P. Patnaik,4QWvqgtjIcNBY8sC37KzGi,0.67,0.317,0.169,0.6655442653237582,0.0514,romantic
Bholo Ashta Lakshmi,Thaman S,6ORAik1xkDQlr8vLP78lQw,0.819,0.17,0.322,0.738162638934414,0.0539,energetic
Manishiko Sneham,Ilaiyaraaja,7mTRjUk5znMOpPEGPOzIt1,0.544,0.923,0.577,0.7259155517148903,0.043,cheerful
Tholi Prema,Manisha Eerabathini,655yEH5YcmvSsl6goyknp4,0.432,0.733,0.243,0.7630441908280938,0.0334,Chill
"Wah Wah Mere Bava (From ""30 Rojullo Preminchadam Ela"")",Rahul Sipligunj,0wSENaO6SANwb3aN3RHyR0,0.65,0.509,0.0874,0.7552668434697101,0.402,romantic
